construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	multiple	ex	k.4
53	cut	cap	first	R-MAT.50.10.4.gexf	50	324	5	3	[16, 16, 16, 16]	30	13	13.0	inf	2395	0	0	0	0	[30.0, 13.0]	R-MAT	50	10	4	gexf
54	cut	cap	first	R-MAT.50.10.4.gexf	50	324	10	4	[16, 16, 16, 16]	30	7	7.0	inf	3402	0	0	0	0	[30.0, 7.0]	R-MAT	50	10	4	gexf
56	cut	cap	first	R-MAT.50.25.4.gexf	50	562	2	1	[23, 23, 23, 23]	83	55	55.0	inf	1587	0	0	0	0	[83.0, 55.0]	R-MAT	50	25	4	gexf
57	cut	cap	first	R-MAT.50.25.4.gexf	50	562	3	2	[23, 23, 23, 23]	83	48	48.0	inf	810	0	0	0	0	[83.0, 48.0]	R-MAT	50	25	4	gexf
58	cut	cap	first	R-MAT.50.25.4.gexf	50	562	5	3	[23, 23, 23, 23]	83	38	38.0	inf	661	0	0	0	0	[83.0, 38.0]	R-MAT	50	25	4	gexf
59	cut	cap	first	R-MAT.50.25.4.gexf	50	562	10	4	[23, 23, 23, 23]	83	21	21.0	inf	1104	0	0	0	0	[83.0, 21.0]	R-MAT	50	25	4	gexf
61	cut	cap	first	R-MAT.50.5.5.gexf	50	199	2	1	[10, 10, 10, 10]	12	9	10.0	9.0	6024	1	0	0	0	[12.0, 10.0, 9.0]	R-MAT	50	5	5	gexf
62	cut	cap	first	R-MAT.50.5.5.gexf	50	199	3	2	[10, 10, 10, 10]	12	9	9.0	inf	4361	0	0	0	0	[12.0, 9.0]	R-MAT	50	5	5	gexf
63	cut	cap	first	R-MAT.50.5.5.gexf	50	199	5	3	[10, 10, 10, 10]	12	7	7.0	inf	4565	0	0	0	0	[12.0, 7.0]	R-MAT	50	5	5	gexf
66	cut	cap	first	R-MAT.50.10.5.gexf	50	317	2	1	[17, 17, 17, 17]	24	20	20.0	inf	1854	0	0	0	0	[24.0, 20.0]	R-MAT	50	10	5	gexf
67	cut	cap	first	R-MAT.50.10.5.gexf	50	317	3	2	[17, 17, 17, 17]	24	18	18.0	inf	1889	0	0	0	0	[24.0, 18.0]	R-MAT	50	10	5	gexf
68	cut	cap	first	R-MAT.50.10.5.gexf	50	317	5	3	[17, 17, 17, 17]	24	15	16.0	15.0	3091	1	0	0	0	[24.0, 16.0, 15.0]	R-MAT	50	10	5	gexf
69	cut	cap	first	R-MAT.50.10.5.gexf	50	317	10	4	[17, 17, 17, 17]	24	11	11.0	inf	3391	0	0	0	0	[24.0, 11.0]	R-MAT	50	10	5	gexf
71	cut	cap	first	R-MAT.50.25.5.gexf	50	596	2	1	[24, 24, 24, 24]	72	52	52.0	inf	377	0	0	0	0	[72.0, 52.0]	R-MAT	50	25	5	gexf
72	cut	cap	first	R-MAT.50.25.5.gexf	50	596	3	2	[24, 24, 24, 24]	72	45	45.0	inf	1683	0	0	0	0	[72.0, 45.0]	R-MAT	50	25	5	gexf
73	cut	cap	first	R-MAT.50.25.5.gexf	50	596	5	3	[24, 24, 24, 24]	72	35	35.0	inf	741	0	0	0	0	[72.0, 35.0]	R-MAT	50	25	5	gexf
74	cut	cap	first	R-MAT.50.25.5.gexf	50	596	10	4	[24, 24, 24, 24]	72	19	19.0	inf	934	0	0	0	0	[72.0, 19.0]	R-MAT	50	25	5	gexf
76	cut	cap	first	R-MAT.50.5.6.gexf	50	189	2	1	[7, 7, 7, 7]	12	6	6.0	inf	2980	0	0	0	0	[12.0, 6.0]	R-MAT	50	5	6	gexf
77	cut	cap	first	R-MAT.50.5.6.gexf	50	189	3	2	[7, 7, 7, 7]	12	4	4.0	inf	3203	0	0	0	0	[12.0, 4.0]	R-MAT	50	5	6	gexf
78	cut	cap	first	R-MAT.50.5.6.gexf	50	189	5	3	[7, 7, 7, 7]	12	2	2.0	inf	5356	0	0	0	0	[12.0, 2.0]	R-MAT	50	5	6	gexf
81	cut	cap	first	R-MAT.50.10.6.gexf	50	320	2	1	[19, 19, 19, 19]	29	22	23.0	22.0	1856	1	0	0	0	[29.0, 23.0, 22.0]	R-MAT	50	10	6	gexf
82	cut	cap	first	R-MAT.50.10.6.gexf	50	320	3	2	[19, 19, 19, 19]	29	19	21.0	19.0	2280	1	0	0	0	[29.0, 21.0, 19.0]	R-MAT	50	10	6	gexf
83	cut	cap	first	R-MAT.50.10.6.gexf	50	320	5	3	[19, 19, 19, 19]	29	15	18.0	15.0	1968	1	0	0	0	[29.0, 18.0, 15.0]	R-MAT	50	10	6	gexf
84	cut	cap	first	R-MAT.50.10.6.gexf	50	320	10	4	[19, 19, 19, 19]	29	13	13.0	inf	3334	0	0	0	0	[29.0, 13.0]	R-MAT	50	10	6	gexf
86	cut	cap	first	R-MAT.50.25.6.gexf	50	553	2	1	[25, 25, 25, 25]	73	52	52.0	inf	325	0	0	0	0	[73.0, 52.0]	R-MAT	50	25	6	gexf
87	cut	cap	first	R-MAT.50.25.6.gexf	50	553	3	2	[25, 25, 25, 25]	73	46	46.0	inf	468	0	0	0	0	[73.0, 46.0]	R-MAT	50	25	6	gexf
88	cut	cap	first	R-MAT.50.25.6.gexf	50	553	5	3	[25, 25, 25, 25]	73	35	35.0	inf	562	0	0	0	0	[73.0, 35.0]	R-MAT	50	25	6	gexf
89	cut	cap	first	R-MAT.50.25.6.gexf	50	553	10	4	[25, 25, 25, 25]	73	17	17.0	inf	1309	0	0	0	0	[73.0, 17.0]	R-MAT	50	25	6	gexf
91	cut	cap	first	R-MAT.50.5.7.gexf	50	184	2	1	[8, 8, 8, 8]	11	7	9.0	7.0	2179	2	0	0	0	[11.0, 9.0, 8.0, 7.0]	R-MAT	50	5	7	gexf
92	cut	cap	first	R-MAT.50.5.7.gexf	50	184	3	2	[8, 8, 8, 8]	11	6	8.0	6.0	4785	2	0	0	0	[11.0, 8.0, 7.0, 6.0]	R-MAT	50	5	7	gexf
93	cut	cap	first	R-MAT.50.5.7.gexf	50	184	5	3	[8, 8, 8, 8]	11	4	6.0	4.0	4816	2	0	0	0	[11.0, 6.0, 5.0, 4.0]	R-MAT	50	5	7	gexf
96	cut	cap	first	R-MAT.50.10.7.gexf	50	306	2	1	[15, 15, 15, 15]	30	21	21.0	inf	1377	0	0	0	0	[30.0, 21.0]	R-MAT	50	10	7	gexf
97	cut	cap	first	R-MAT.50.10.7.gexf	50	306	3	2	[15, 15, 15, 15]	30	17	19.0	17.0	1234	1	0	0	0	[30.0, 19.0, 17.0]	R-MAT	50	10	7	gexf
98	cut	cap	first	R-MAT.50.10.7.gexf	50	306	5	3	[15, 15, 15, 15]	30	13	15.0	13.0	1955	2	0	0	0	[30.0, 15.0, 14.0, 13.0]	R-MAT	50	10	7	gexf
99	cut	cap	first	R-MAT.50.10.7.gexf	50	306	10	4	[15, 15, 15, 15]	30	10	10.0	inf	3278	0	0	0	0	[30.0, 10.0]	R-MAT	50	10	7	gexf
101	cut	cap	first	R-MAT.50.25.7.gexf	50	582	2	1	[25, 25, 25, 25]	72	55	55.0	inf	512	0	0	0	0	[72.0, 55.0]	R-MAT	50	25	7	gexf
102	cut	cap	first	R-MAT.50.25.7.gexf	50	582	3	2	[25, 25, 25, 25]	72	49	49.0	inf	637	0	0	0	0	[72.0, 49.0]	R-MAT	50	25	7	gexf
103	cut	cap	first	R-MAT.50.25.7.gexf	50	582	5	3	[25, 25, 25, 25]	72	38	38.0	inf	662	0	0	0	0	[72.0, 38.0]	R-MAT	50	25	7	gexf
104	cut	cap	first	R-MAT.50.25.7.gexf	50	582	10	4	[25, 25, 25, 25]	72	21	21.0	inf	1638	0	0	0	0	[72.0, 21.0]	R-MAT	50	25	7	gexf
106	cut	cap	first	R-MAT.50.5.8.gexf	50	188	2	1	[7, 7, 7, 7]	9	5	5.0	inf	3928	0	0	0	0	[9.0, 5.0]	R-MAT	50	5	8	gexf
107	cut	cap	first	R-MAT.50.5.8.gexf	50	188	3	2	[7, 7, 7, 7]	9	4	4.0	inf	5289	0	0	0	0	[9.0, 4.0]	R-MAT	50	5	8	gexf
108	cut	cap	first	R-MAT.50.5.8.gexf	50	188	5	3	[7, 7, 7, 7]	9	2	2.0	inf	5452	0	0	0	0	[9.0, 2.0]	R-MAT	50	5	8	gexf
111	cut	cap	first	R-MAT.50.10.8.gexf	50	301	2	1	[13, 13, 13, 13]	29	19	22.0	19.0	1458	2	0	0	0	[29.0, 22.0, 20.0, 19.0]	R-MAT	50	10	8	gexf
112	cut	cap	first	R-MAT.50.10.8.gexf	50	301	3	2	[13, 13, 13, 13]	29	20	20.0	inf	1809	0	0	0	0	[29.0, 20.0]	R-MAT	50	10	8	gexf
113	cut	cap	first	R-MAT.50.10.8.gexf	50	301	5	3	[13, 13, 13, 13]	29	11	17.0	11.0	3847	3	0	0	0	[29.0, 17.0, 16.0, 13.0, 11.0]	R-MAT	50	10	8	gexf
114	cut	cap	first	R-MAT.50.10.8.gexf	50	301	10	4	[13, 13, 13, 13]	29	12	12.0	inf	3153	0	0	0	0	[29.0, 12.0]	R-MAT	50	10	8	gexf
116	cut	cap	first	R-MAT.50.25.8.gexf	50	589	2	1	[25, 25, 25, 25]	68	51	51.0	inf	1708	0	0	0	0	[68.0, 51.0]	R-MAT	50	25	8	gexf
117	cut	cap	first	R-MAT.50.25.8.gexf	50	589	3	2	[25, 25, 25, 25]	68	45	45.0	inf	641	0	0	0	0	[68.0, 45.0]	R-MAT	50	25	8	gexf
118	cut	cap	first	R-MAT.50.25.8.gexf	50	589	5	3	[25, 25, 25, 25]	68	37	37.0	inf	668	0	0	0	0	[68.0, 37.0]	R-MAT	50	25	8	gexf
119	cut	cap	first	R-MAT.50.25.8.gexf	50	589	10	4	[25, 25, 25, 25]	68	22	22.0	inf	1325	0	0	0	0	[68.0, 22.0]	R-MAT	50	25	8	gexf
121	cut	cap	first	R-MAT.50.5.9.gexf	50	184	2	1	[8, 8, 8, 8]	10	6	6.0	inf	4847	0	0	0	0	[10.0, 6.0]	R-MAT	50	5	9	gexf
122	cut	cap	first	R-MAT.50.5.9.gexf	50	184	3	2	[8, 8, 8, 8]	10	5	5.0	inf	5082	0	0	0	0	[10.0, 5.0]	R-MAT	50	5	9	gexf
123	cut	cap	first	R-MAT.50.5.9.gexf	50	184	5	3	[8, 8, 8, 8]	10	3	3.0	inf	5435	0	0	0	0	[10.0, 3.0]	R-MAT	50	5	9	gexf
126	cut	cap	first	R-MAT.50.10.9.gexf	50	304	2	1	[17, 17, 17, 17]	38	26	26.0	inf	1113	0	0	0	0	[38.0, 26.0]	R-MAT	50	10	9	gexf
127	cut	cap	first	R-MAT.50.10.9.gexf	50	304	3	2	[17, 17, 17, 17]	38	23	23.0	inf	1423	0	0	0	0	[38.0, 23.0]	R-MAT	50	10	9	gexf
128	cut	cap	first	R-MAT.50.10.9.gexf	50	304	5	3	[17, 17, 17, 17]	38	17	17.0	inf	1635	0	0	0	0	[38.0, 17.0]	R-MAT	50	10	9	gexf
129	cut	cap	first	R-MAT.50.10.9.gexf	50	304	10	4	[17, 17, 17, 17]	38	8	8.0	inf	3531	0	0	0	0	[38.0, 8.0]	R-MAT	50	10	9	gexf
131	cut	cap	first	R-MAT.50.25.9.gexf	50	600	2	1	[25, 25, 25, 25]	66	49	49.0	inf	1498	0	0	0	0	[66.0, 49.0]	R-MAT	50	25	9	gexf
132	cut	cap	first	R-MAT.50.25.9.gexf	50	600	3	2	[25, 25, 25, 25]	66	43	43.0	inf	738	0	0	0	0	[66.0, 43.0]	R-MAT	50	25	9	gexf
133	cut	cap	first	R-MAT.50.25.9.gexf	50	600	5	3	[25, 25, 25, 25]	66	33	33.0	inf	615	0	0	0	0	[66.0, 33.0]	R-MAT	50	25	9	gexf
134	cut	cap	first	R-MAT.50.25.9.gexf	50	600	10	4	[25, 25, 25, 25]	66	19	19.0	inf	1195	0	0	0	0	[66.0, 19.0]	R-MAT	50	25	9	gexf
136	cut	cap	first	R-MAT.50.5.10.gexf	50	187	2	1	[9, 9, 9, 9]	17	10	11.0	10.0	1962	1	0	0	0	[17.0, 11.0, 10.0]	R-MAT	50	5	10	gexf
137	cut	cap	first	R-MAT.50.5.10.gexf	50	187	3	2	[9, 9, 9, 9]	17	8	9.0	8.0	4131	1	0	0	0	[17.0, 9.0, 8.0]	R-MAT	50	5	10	gexf
138	cut	cap	first	R-MAT.50.5.10.gexf	50	187	5	3	[9, 9, 9, 9]	17	4	7.0	4.0	3085	2	0	0	0	[17.0, 7.0, 5.0, 4.0]	R-MAT	50	5	10	gexf
141	cut	cap	first	R-MAT.50.10.10.gexf	50	328	2	1	[16, 16, 16, 16]	27	20	20.0	inf	2998	0	0	0	0	[27.0, 20.0]	R-MAT	50	10	10	gexf
142	cut	cap	first	R-MAT.50.10.10.gexf	50	328	3	2	[16, 16, 16, 16]	27	17	17.0	inf	3079	0	0	0	0	[27.0, 17.0]	R-MAT	50	10	10	gexf
143	cut	cap	first	R-MAT.50.10.10.gexf	50	328	5	3	[16, 16, 16, 16]	27	12	13.0	12.0	1943	1	0	0	0	[27.0, 13.0, 12.0]	R-MAT	50	10	10	gexf
144	cut	cap	first	R-MAT.50.10.10.gexf	50	328	10	4	[16, 16, 16, 16]	27	6	8.0	6.0	3308	1	0	0	0	[27.0, 8.0, 6.0]	R-MAT	50	10	10	gexf
146	cut	cap	first	R-MAT.50.25.10.gexf	50	570	2	1	[21, 21, 21, 21]	70	55	55.0	inf	517	0	0	0	0	[70.0, 55.0]	R-MAT	50	25	10	gexf
147	cut	cap	first	R-MAT.50.25.10.gexf	50	570	3	2	[21, 21, 21, 21]	70	49	49.0	inf	536	0	0	0	0	[70.0, 49.0]	R-MAT	50	25	10	gexf
148	cut	cap	first	R-MAT.50.25.10.gexf	50	570	5	3	[21, 21, 21, 21]	70	39	39.0	inf	748	0	0	0	0	[70.0, 39.0]	R-MAT	50	25	10	gexf
149	cut	cap	first	R-MAT.50.25.10.gexf	50	570	10	4	[21, 21, 21, 21]	70	20	20.0	inf	911	0	0	0	0	[70.0, 20.0]	R-MAT	50	25	10	gexf
151	cut	cap	first	R-MAT.50.5.11.gexf	50	192	2	1	[7, 7, 7, 7]	10	5	8.0	5.0	2942	2	0	0	0	[10.0, 8.0, 6.0, 5.0]	R-MAT	50	5	11	gexf
152	cut	cap	first	R-MAT.50.5.11.gexf	50	192	3	2	[7, 7, 7, 7]	10	5	7.0	5.0	4715	1	0	0	0	[10.0, 7.0, 5.0]	R-MAT	50	5	11	gexf
153	cut	cap	first	R-MAT.50.5.11.gexf	50	192	5	3	[7, 7, 7, 7]	10	5	5.0	inf	5112	0	0	0	0	[10.0, 5.0]	R-MAT	50	5	11	gexf
156	cut	cap	first	R-MAT.50.10.11.gexf	50	319	2	1	[16, 16, 16, 16]	24	17	17.0	inf	3176	0	0	0	0	[24.0, 17.0]	R-MAT	50	10	11	gexf
157	cut	cap	first	R-MAT.50.10.11.gexf	50	319	3	2	[16, 16, 16, 16]	24	15	15.0	inf	2562	0	0	0	0	[24.0, 15.0]	R-MAT	50	10	11	gexf
158	cut	cap	first	R-MAT.50.10.11.gexf	50	319	5	3	[16, 16, 16, 16]	24	11	11.0	inf	2588	0	0	0	0	[24.0, 11.0]	R-MAT	50	10	11	gexf
159	cut	cap	first	R-MAT.50.10.11.gexf	50	319	10	4	[16, 16, 16, 16]	24	6	6.0	inf	3488	0	0	0	0	[24.0, 6.0]	R-MAT	50	10	11	gexf
161	cut	cap	first	R-MAT.50.25.11.gexf	50	583	2	1	[23, 23, 23, 23]	58	44	44.0	inf	398	0	0	0	0	[58.0, 44.0]	R-MAT	50	25	11	gexf
162	cut	cap	first	R-MAT.50.25.11.gexf	50	583	3	2	[23, 23, 23, 23]	58	39	39.0	inf	656	0	0	0	0	[58.0, 39.0]	R-MAT	50	25	11	gexf
163	cut	cap	first	R-MAT.50.25.11.gexf	50	583	5	3	[23, 23, 23, 23]	58	30	30.0	inf	682	0	0	0	0	[58.0, 30.0]	R-MAT	50	25	11	gexf
164	cut	cap	first	R-MAT.50.25.11.gexf	50	583	10	4	[23, 23, 23, 23]	58	15	16.0	15.0	1223	1	0	0	0	[58.0, 16.0, 15.0]	R-MAT	50	25	11	gexf
166	cut	cap	first	R-MAT.50.5.12.gexf	50	173	2	1	[11, 11, 11, 11]	18	10	12.0	10.0	4376	1	0	0	0	[18.0, 12.0, 10.0]	R-MAT	50	5	12	gexf
167	cut	cap	first	R-MAT.50.5.12.gexf	50	173	3	2	[11, 11, 11, 11]	18	10	11.0	10.0	6408	1	0	0	0	[18.0, 11.0, 10.0]	R-MAT	50	5	12	gexf
168	cut	cap	first	R-MAT.50.5.12.gexf	50	173	5	3	[11, 11, 11, 11]	18	8	9.0	8.0	4717	1	0	0	0	[18.0, 9.0, 8.0]	R-MAT	50	5	12	gexf
169	cut	cap	first	R-MAT.50.5.12.gexf	50	173	10	4	[11, 11, 11, 11]	18	4	4.0	inf	5550	0	0	0	0	[18.0, 4.0]	R-MAT	50	5	12	gexf
171	cut	cap	first	R-MAT.50.10.12.gexf	50	332	2	1	[14, 14, 14, 14]	31	20	20.0	inf	1005	0	0	0	0	[31.0, 20.0]	R-MAT	50	10	12	gexf
172	cut	cap	first	R-MAT.50.10.12.gexf	50	332	3	2	[14, 14, 14, 14]	31	16	18.0	16.0	1092	1	0	0	0	[31.0, 18.0, 16.0]	R-MAT	50	10	12	gexf
173	cut	cap	first	R-MAT.50.10.12.gexf	50	332	5	3	[14, 14, 14, 14]	31	12	14.0	12.0	1872	1	0	0	0	[31.0, 14.0, 12.0]	R-MAT	50	10	12	gexf
174	cut	cap	first	R-MAT.50.10.12.gexf	50	332	10	4	[14, 14, 14, 14]	31	8	8.0	inf	3248	0	0	0	0	[31.0, 8.0]	R-MAT	50	10	12	gexf
176	cut	cap	first	R-MAT.50.25.12.gexf	50	577	2	1	[25, 25, 25, 25]	77	59	59.0	inf	743	0	0	0	0	[77.0, 59.0]	R-MAT	50	25	12	gexf
177	cut	cap	first	R-MAT.50.25.12.gexf	50	577	3	2	[25, 25, 25, 25]	77	53	53.0	inf	1550	0	0	0	0	[77.0, 53.0]	R-MAT	50	25	12	gexf
178	cut	cap	first	R-MAT.50.25.12.gexf	50	577	5	3	[25, 25, 25, 25]	77	43	43.0	inf	533	0	0	0	0	[77.0, 43.0]	R-MAT	50	25	12	gexf
179	cut	cap	first	R-MAT.50.25.12.gexf	50	577	10	4	[25, 25, 25, 25]	77	26	26.0	inf	932	0	0	0	0	[77.0, 26.0]	R-MAT	50	25	12	gexf
181	cut	cap	first	R-MAT.50.5.13.gexf	50	186	2	1	[8, 8, 8, 8]	11	7	8.0	7.0	3254	1	0	0	0	[11.0, 8.0, 7.0]	R-MAT	50	5	13	gexf
182	cut	cap	first	R-MAT.50.5.13.gexf	50	186	3	2	[8, 8, 8, 8]	11	5	7.0	5.0	3250	2	0	0	0	[11.0, 7.0, 6.0, 5.0]	R-MAT	50	5	13	gexf
183	cut	cap	first	R-MAT.50.5.13.gexf	50	186	5	3	[8, 8, 8, 8]	11	3	5.0	3.0	4837	2	0	0	0	[11.0, 5.0, 4.0, 3.0]	R-MAT	50	5	13	gexf
186	cut	cap	first	R-MAT.50.10.13.gexf	50	314	2	1	[15, 15, 15, 15]	30	19	21.0	19.0	2834	1	0	0	0	[30.0, 21.0, 19.0]	R-MAT	50	10	13	gexf
187	cut	cap	first	R-MAT.50.10.13.gexf	50	314	3	2	[15, 15, 15, 15]	30	14	19.0	14.0	2925	2	0	0	0	[30.0, 19.0, 16.0, 14.0]	R-MAT	50	10	13	gexf
188	cut	cap	first	R-MAT.50.10.13.gexf	50	314	5	3	[15, 15, 15, 15]	30	12	15.0	12.0	2000	2	0	0	0	[30.0, 15.0, 14.0, 12.0]	R-MAT	50	10	13	gexf
189	cut	cap	first	R-MAT.50.10.13.gexf	50	314	10	4	[15, 15, 15, 15]	30	9	9.0	inf	3270	0	0	0	0	[30.0, 9.0]	R-MAT	50	10	13	gexf
