construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	multiple	ex	k.4	mem	constant	best
31	cut	cap	first	R-MAT.50.5.3.gexf	50	197	2	1	[9, 9, 9, 9]	13	8	8.0	inf	2732	0	0	0	0	[13.0, 8.0]	R-MAT	50	5	3	gexf	13	1.625	0.5
32	cut	cap	first	R-MAT.50.5.3.gexf	50	197	3	2	[9, 9, 9, 9]	13	6	7.0	6.0	2871	1	0	0	0	[13.0, 7.0, 6.0]	R-MAT	50	5	3	gexf	13	2.16666666666667	0.5
33	cut	cap	first	R-MAT.50.5.3.gexf	50	197	5	3	[9, 9, 9, 9]	13	5	5.0	inf	4967	0	0	0	0	[13.0, 5.0]	R-MAT	50	5	3	gexf	12	2.4	0
36	cut	cap	first	R-MAT.50.10.3.gexf	50	314	2	1	[12, 12, 12, 12]	20	13	13.0	inf	3203	0	0	0	0	[20.0, 13.0]	R-MAT	50	10	3	gexf	20	1.53846153846154	0.5
37	cut	cap	first	R-MAT.50.10.3.gexf	50	314	3	2	[12, 12, 12, 12]	20	11	11.0	inf	2535	0	0	0	0	[20.0, 11.0]	R-MAT	50	10	3	gexf	20	1.81818181818182	0.5
38	cut	cap	first	R-MAT.50.10.3.gexf	50	314	5	3	[12, 12, 12, 12]	20	7	7.0	inf	2154	0	0	0	0	[20.0, 7.0]	R-MAT	50	10	3	gexf	18	2.57142857142857	0.5
39	cut	cap	first	R-MAT.50.10.3.gexf	50	314	10	4	[12, 12, 12, 12]	20	2	2.0	inf	3680	0	0	0	0	[20.0, 2.0]	R-MAT	50	10	3	gexf	12.8333333333333	6.41666666666667	0.5
41	cut	cap	first	R-MAT.50.25.3.gexf	50	573	2	1	[24, 24, 24, 24]	68	48	48.0	inf	356	0	0	0	0	[68.0, 48.0]	R-MAT	50	25	3	gexf	68	1.41666666666667	0.5
42	cut	cap	first	R-MAT.50.25.3.gexf	50	573	3	2	[24, 24, 24, 24]	68	39	39.0	inf	343	0	0	0	0	[68.0, 39.0]	R-MAT	50	25	3	gexf	68	1.74358974358974	0.5
43	cut	cap	first	R-MAT.50.25.3.gexf	50	573	5	3	[24, 24, 24, 24]	68	29	29.0	inf	1019	0	0	0	0	[68.0, 29.0]	R-MAT	50	25	3	gexf	68	2.3448275862069	0.5
44	cut	cap	first	R-MAT.50.25.3.gexf	50	573	10	4	[24, 24, 24, 24]	68	17	17.0	inf	1570	0	0	0	0	[68.0, 17.0]	R-MAT	50	25	3	gexf	53.1666666666667	3.12745098039216	0.5
46	cut	cap	first	R-MAT.50.5.4.gexf	50	190	2	1	[7, 7, 7, 7]	7	5	5.0	inf	5081	0	0	0	0	[7.0, 5.0]	R-MAT	50	5	4	gexf	7	1.4	0.5
47	cut	cap	first	R-MAT.50.5.4.gexf	50	190	3	2	[7, 7, 7, 7]	7	4	4.0	inf	5134	0	0	0	0	[7.0, 4.0]	R-MAT	50	5	4	gexf	7	1.75	0.5
48	cut	cap	first	R-MAT.50.5.4.gexf	50	190	5	3	[7, 7, 7, 7]	7	2	2.0	inf	5337	0	0	0	0	[7.0, 2.0]	R-MAT	50	5	4	gexf	7	3.5	0.5
51	cut	cap	first	R-MAT.50.10.4.gexf	50	324	2	1	[16, 16, 16, 16]	30	20	20.0	inf	2748	0	0	0	0	[30.0, 20.0]	R-MAT	50	10	4	gexf	30	1.5	0.5
52	cut	cap	first	R-MAT.50.10.4.gexf	50	324	3	2	[16, 16, 16, 16]	30	17	17.0	inf	1371	0	0	0	0	[30.0, 17.0]	R-MAT	50	10	4	gexf	30	1.76470588235294	0.5
53	cut	cap	first	R-MAT.50.10.4.gexf	50	324	5	3	[16, 16, 16, 16]	30	13	13.0	inf	2395	0	0	0	0	[30.0, 13.0]	R-MAT	50	10	4	gexf	28.8	2.21538461538462	0.5
54	cut	cap	first	R-MAT.50.10.4.gexf	50	324	10	4	[16, 16, 16, 16]	30	7	7.0	inf	3402	0	0	0	0	[30.0, 7.0]	R-MAT	50	10	4	gexf	23.375	3.33928571428571	0
56	cut	cap	first	R-MAT.50.25.4.gexf	50	562	2	1	[23, 23, 23, 23]	83	55	55.0	inf	1587	0	0	0	0	[83.0, 55.0]	R-MAT	50	25	4	gexf	83	1.50909090909091	0.5
57	cut	cap	first	R-MAT.50.25.4.gexf	50	562	3	2	[23, 23, 23, 23]	83	48	48.0	inf	810	0	0	0	0	[83.0, 48.0]	R-MAT	50	25	4	gexf	83	1.72916666666667	0.5
58	cut	cap	first	R-MAT.50.25.4.gexf	50	562	5	3	[23, 23, 23, 23]	83	38	38.0	inf	661	0	0	0	0	[83.0, 38.0]	R-MAT	50	25	4	gexf	79.2	2.08421052631579	0.5
59	cut	cap	first	R-MAT.50.25.4.gexf	50	562	10	4	[23, 23, 23, 23]	83	21	21.0	inf	1104	0	0	0	0	[83.0, 21.0]	R-MAT	50	25	4	gexf	66	3.14285714285714	0.5
61	cut	cap	first	R-MAT.50.5.5.gexf	50	199	2	1	[10, 10, 10, 10]	12	9	10.0	9.0	6024	1	0	0	0	[12.0, 10.0, 9.0]	R-MAT	50	5	5	gexf	12	1.33333333333333	0
62	cut	cap	first	R-MAT.50.5.5.gexf	50	199	3	2	[10, 10, 10, 10]	12	9	9.0	inf	4361	0	0	0	0	[12.0, 9.0]	R-MAT	50	5	5	gexf	12	1.33333333333333	0
63	cut	cap	first	R-MAT.50.5.5.gexf	50	199	5	3	[10, 10, 10, 10]	12	7	7.0	inf	4565	0	0	0	0	[12.0, 7.0]	R-MAT	50	5	5	gexf	10.8	1.54285714285714	0
66	cut	cap	first	R-MAT.50.10.5.gexf	50	317	2	1	[17, 17, 17, 17]	24	20	20.0	inf	1854	0	0	0	0	[24.0, 20.0]	R-MAT	50	10	5	gexf	24	1.2	0
67	cut	cap	first	R-MAT.50.10.5.gexf	50	317	3	2	[17, 17, 17, 17]	24	18	18.0	inf	1889	0	0	0	0	[24.0, 18.0]	R-MAT	50	10	5	gexf	24	1.33333333333333	0.5
68	cut	cap	first	R-MAT.50.10.5.gexf	50	317	5	3	[17, 17, 17, 17]	24	15	16.0	15.0	3091	1	0	0	0	[24.0, 16.0, 15.0]	R-MAT	50	10	5	gexf	24	1.6	0
69	cut	cap	first	R-MAT.50.10.5.gexf	50	317	10	4	[17, 17, 17, 17]	24	11	11.0	inf	3391	0	0	0	0	[24.0, 11.0]	R-MAT	50	10	5	gexf	24	2.18181818181818	0
71	cut	cap	first	R-MAT.50.25.5.gexf	50	596	2	1	[24, 24, 24, 24]	72	52	52.0	inf	377	0	0	0	0	[72.0, 52.0]	R-MAT	50	25	5	gexf	72	1.38461538461538	0.5
72	cut	cap	first	R-MAT.50.25.5.gexf	50	596	3	2	[24, 24, 24, 24]	72	45	45.0	inf	1683	0	0	0	0	[72.0, 45.0]	R-MAT	50	25	5	gexf	72	1.6	0.5
73	cut	cap	first	R-MAT.50.25.5.gexf	50	596	5	3	[24, 24, 24, 24]	72	35	35.0	inf	741	0	0	0	0	[72.0, 35.0]	R-MAT	50	25	5	gexf	72	2.05714285714286	0.5
74	cut	cap	first	R-MAT.50.25.5.gexf	50	596	10	4	[24, 24, 24, 24]	72	19	19.0	inf	934	0	0	0	0	[72.0, 19.0]	R-MAT	50	25	5	gexf	61.875	3.25657894736842	0.5
76	cut	cap	first	R-MAT.50.5.6.gexf	50	189	2	1	[7, 7, 7, 7]	12	6	6.0	inf	2980	0	0	0	0	[12.0, 6.0]	R-MAT	50	5	6	gexf	12	2	0.5
77	cut	cap	first	R-MAT.50.5.6.gexf	50	189	3	2	[7, 7, 7, 7]	12	4	4.0	inf	3203	0	0	0	0	[12.0, 4.0]	R-MAT	50	5	6	gexf	12	3	0.5
78	cut	cap	first	R-MAT.50.5.6.gexf	50	189	5	3	[7, 7, 7, 7]	12	2	2.0	inf	5356	0	0	0	0	[12.0, 2.0]	R-MAT	50	5	6	gexf	8	4	0.5
81	cut	cap	first	R-MAT.50.10.6.gexf	50	320	2	1	[19, 19, 19, 19]	29	22	23.0	22.0	1856	1	0	0	0	[29.0, 23.0, 22.0]	R-MAT	50	10	6	gexf	29	1.31818181818182	0.5
82	cut	cap	first	R-MAT.50.10.6.gexf	50	320	3	2	[19, 19, 19, 19]	29	19	21.0	19.0	2280	1	0	0	0	[29.0, 21.0, 19.0]	R-MAT	50	10	6	gexf	29	1.52631578947368	0.5
83	cut	cap	first	R-MAT.50.10.6.gexf	50	320	5	3	[19, 19, 19, 19]	29	15	18.0	15.0	1968	1	0	0	0	[29.0, 18.0, 15.0]	R-MAT	50	10	6	gexf	29	1.93333333333333	0.5
84	cut	cap	first	R-MAT.50.10.6.gexf	50	320	10	4	[19, 19, 19, 19]	29	13	13.0	inf	3334	0	0	0	0	[29.0, 13.0]	R-MAT	50	10	6	gexf	26.125	2.00961538461538	0
86	cut	cap	first	R-MAT.50.25.6.gexf	50	553	2	1	[25, 25, 25, 25]	73	52	52.0	inf	325	0	0	0	0	[73.0, 52.0]	R-MAT	50	25	6	gexf	73	1.40384615384615	0.5
87	cut	cap	first	R-MAT.50.25.6.gexf	50	553	3	2	[25, 25, 25, 25]	73	46	46.0	inf	468	0	0	0	0	[73.0, 46.0]	R-MAT	50	25	6	gexf	73	1.58695652173913	0.5
88	cut	cap	first	R-MAT.50.25.6.gexf	50	553	5	3	[25, 25, 25, 25]	73	35	35.0	inf	562	0	0	0	0	[73.0, 35.0]	R-MAT	50	25	6	gexf	73	2.08571428571429	0.5
89	cut	cap	first	R-MAT.50.25.6.gexf	50	553	10	4	[25, 25, 25, 25]	73	17	17.0	inf	1309	0	0	0	0	[73.0, 17.0]	R-MAT	50	25	6	gexf	62.8571428571428	3.69747899159664	0.5
91	cut	cap	first	R-MAT.50.5.7.gexf	50	184	2	1	[8, 8, 8, 8]	11	7	9.0	7.0	2179	2	0	0	0	[11.0, 9.0, 8.0, 7.0]	R-MAT	50	5	7	gexf	11	1.57142857142857	0.5
92	cut	cap	first	R-MAT.50.5.7.gexf	50	184	3	2	[8, 8, 8, 8]	11	6	8.0	6.0	4785	2	0	0	0	[11.0, 8.0, 7.0, 6.0]	R-MAT	50	5	7	gexf	11	1.83333333333333	0.5
93	cut	cap	first	R-MAT.50.5.7.gexf	50	184	5	3	[8, 8, 8, 8]	11	4	6.0	4.0	4816	2	0	0	0	[11.0, 6.0, 5.0, 4.0]	R-MAT	50	5	7	gexf	10.5	2.625	0
96	cut	cap	first	R-MAT.50.10.7.gexf	50	306	2	1	[15, 15, 15, 15]	30	21	21.0	inf	1377	0	0	0	0	[30.0, 21.0]	R-MAT	50	10	7	gexf	30	1.42857142857143	0.5
97	cut	cap	first	R-MAT.50.10.7.gexf	50	306	3	2	[15, 15, 15, 15]	30	17	19.0	17.0	1234	1	0	0	0	[30.0, 19.0, 17.0]	R-MAT	50	10	7	gexf	30	1.76470588235294	0.5
98	cut	cap	first	R-MAT.50.10.7.gexf	50	306	5	3	[15, 15, 15, 15]	30	13	15.0	13.0	1955	2	0	0	0	[30.0, 15.0, 14.0, 13.0]	R-MAT	50	10	7	gexf	30	2.30769230769231	0.5
99	cut	cap	first	R-MAT.50.10.7.gexf	50	306	10	4	[15, 15, 15, 15]	30	10	10.0	inf	3278	0	0	0	0	[30.0, 10.0]	R-MAT	50	10	7	gexf	23.375	2.3375	0
101	cut	cap	first	R-MAT.50.25.7.gexf	50	582	2	1	[25, 25, 25, 25]	72	55	55.0	inf	512	0	0	0	0	[72.0, 55.0]	R-MAT	50	25	7	gexf	72	1.30909090909091	0.5
102	cut	cap	first	R-MAT.50.25.7.gexf	50	582	3	2	[25, 25, 25, 25]	72	49	49.0	inf	637	0	0	0	0	[72.0, 49.0]	R-MAT	50	25	7	gexf	72	1.46938775510204	0.5
103	cut	cap	first	R-MAT.50.25.7.gexf	50	582	5	3	[25, 25, 25, 25]	72	38	38.0	inf	662	0	0	0	0	[72.0, 38.0]	R-MAT	50	25	7	gexf	72	1.89473684210526	0.5
104	cut	cap	first	R-MAT.50.25.7.gexf	50	582	10	4	[25, 25, 25, 25]	72	21	21.0	inf	1638	0	0	0	0	[72.0, 21.0]	R-MAT	50	25	7	gexf	67.2222222222222	3.2010582010582	0.5
106	cut	cap	first	R-MAT.50.5.8.gexf	50	188	2	1	[7, 7, 7, 7]	9	5	5.0	inf	3928	0	0	0	0	[9.0, 5.0]	R-MAT	50	5	8	gexf	9	1.8	0.5
107	cut	cap	first	R-MAT.50.5.8.gexf	50	188	3	2	[7, 7, 7, 7]	9	4	4.0	inf	5289	0	0	0	0	[9.0, 4.0]	R-MAT	50	5	8	gexf	9	2.25	0.5
108	cut	cap	first	R-MAT.50.5.8.gexf	50	188	5	3	[7, 7, 7, 7]	9	2	2.0	inf	5452	0	0	0	0	[9.0, 2.0]	R-MAT	50	5	8	gexf	7.5	3.75	0.5
111	cut	cap	first	R-MAT.50.10.8.gexf	50	301	2	1	[13, 13, 13, 13]	29	19	22.0	19.0	1458	2	0	0	0	[29.0, 22.0, 20.0, 19.0]	R-MAT	50	10	8	gexf	29	1.52631578947368	0.5
112	cut	cap	first	R-MAT.50.10.8.gexf	50	301	3	2	[13, 13, 13, 13]	29	20	20.0	inf	1809	0	0	0	0	[29.0, 20.0]	R-MAT	50	10	8	gexf	29	1.45	0
113	cut	cap	first	R-MAT.50.10.8.gexf	50	301	5	3	[13, 13, 13, 13]	29	11	17.0	11.0	3847	3	0	0	0	[29.0, 17.0, 16.0, 13.0, 11.0]	R-MAT	50	10	8	gexf	28.5	2.59090909090909	0
114	cut	cap	first	R-MAT.50.10.8.gexf	50	301	10	4	[13, 13, 13, 13]	29	12	12.0	inf	3153	0	0	0	0	[29.0, 12.0]	R-MAT	50	10	8	gexf	15.4	1.28333333333333	0
116	cut	cap	first	R-MAT.50.25.8.gexf	50	589	2	1	[25, 25, 25, 25]	68	51	51.0	inf	1708	0	0	0	0	[68.0, 51.0]	R-MAT	50	25	8	gexf	68	1.33333333333333	0.5
117	cut	cap	first	R-MAT.50.25.8.gexf	50	589	3	2	[25, 25, 25, 25]	68	45	45.0	inf	641	0	0	0	0	[68.0, 45.0]	R-MAT	50	25	8	gexf	68	1.51111111111111	0.5
118	cut	cap	first	R-MAT.50.25.8.gexf	50	589	5	3	[25, 25, 25, 25]	68	37	37.0	inf	668	0	0	0	0	[68.0, 37.0]	R-MAT	50	25	8	gexf	68	1.83783783783784	0.5
119	cut	cap	first	R-MAT.50.25.8.gexf	50	589	10	4	[25, 25, 25, 25]	68	22	22.0	inf	1325	0	0	0	0	[68.0, 22.0]	R-MAT	50	25	8	gexf	61.875	2.8125	0.5
121	cut	cap	first	R-MAT.50.5.9.gexf	50	184	2	1	[8, 8, 8, 8]	10	6	6.0	inf	4847	0	0	0	0	[10.0, 6.0]	R-MAT	50	5	9	gexf	10	1.66666666666667	0.5
122	cut	cap	first	R-MAT.50.5.9.gexf	50	184	3	2	[8, 8, 8, 8]	10	5	5.0	inf	5082	0	0	0	0	[10.0, 5.0]	R-MAT	50	5	9	gexf	10	2	0.5
123	cut	cap	first	R-MAT.50.5.9.gexf	50	184	5	3	[8, 8, 8, 8]	10	3	3.0	inf	5435	0	0	0	0	[10.0, 3.0]	R-MAT	50	5	9	gexf	9	3	0.5
126	cut	cap	first	R-MAT.50.10.9.gexf	50	304	2	1	[17, 17, 17, 17]	38	26	26.0	inf	1113	0	0	0	0	[38.0, 26.0]	R-MAT	50	10	9	gexf	38	1.46153846153846	0.5
127	cut	cap	first	R-MAT.50.10.9.gexf	50	304	3	2	[17, 17, 17, 17]	38	23	23.0	inf	1423	0	0	0	0	[38.0, 23.0]	R-MAT	50	10	9	gexf	38	1.65217391304348	0.5
128	cut	cap	first	R-MAT.50.10.9.gexf	50	304	5	3	[17, 17, 17, 17]	38	17	17.0	inf	1635	0	0	0	0	[38.0, 17.0]	R-MAT	50	10	9	gexf	36	2.11764705882353	0.5
129	cut	cap	first	R-MAT.50.10.9.gexf	50	304	10	4	[17, 17, 17, 17]	38	8	8.0	inf	3531	0	0	0	0	[38.0, 8.0]	R-MAT	50	10	9	gexf	31.1666666666667	3.89583333333333	0
131	cut	cap	first	R-MAT.50.25.9.gexf	50	600	2	1	[25, 25, 25, 25]	66	49	49.0	inf	1498	0	0	0	0	[66.0, 49.0]	R-MAT	50	25	9	gexf	66	1.3469387755102	0.5
132	cut	cap	first	R-MAT.50.25.9.gexf	50	600	3	2	[25, 25, 25, 25]	66	43	43.0	inf	738	0	0	0	0	[66.0, 43.0]	R-MAT	50	25	9	gexf	66	1.53488372093023	0.5
133	cut	cap	first	R-MAT.50.25.9.gexf	50	600	5	3	[25, 25, 25, 25]	66	33	33.0	inf	615	0	0	0	0	[66.0, 33.0]	R-MAT	50	25	9	gexf	66	2	0.5
134	cut	cap	first	R-MAT.50.25.9.gexf	50	600	10	4	[25, 25, 25, 25]	66	19	19.0	inf	1195	0	0	0	0	[66.0, 19.0]	R-MAT	50	25	9	gexf	58.1428571428571	3.06015037593985	0.5
136	cut	cap	first	R-MAT.50.5.10.gexf	50	187	2	1	[9, 9, 9, 9]	17	10	11.0	10.0	1962	1	0	0	0	[17.0, 11.0, 10.0]	R-MAT	50	5	10	gexf	17	1.7	0.5
137	cut	cap	first	R-MAT.50.5.10.gexf	50	187	3	2	[9, 9, 9, 9]	17	8	9.0	8.0	4131	1	0	0	0	[17.0, 9.0, 8.0]	R-MAT	50	5	10	gexf	17	2.125	0.5
138	cut	cap	first	R-MAT.50.5.10.gexf	50	187	5	3	[9, 9, 9, 9]	17	4	7.0	4.0	3085	2	0	0	0	[17.0, 7.0, 5.0, 4.0]	R-MAT	50	5	10	gexf	15	3.75	0.5
141	cut	cap	first	R-MAT.50.10.10.gexf	50	328	2	1	[16, 16, 16, 16]	27	20	20.0	inf	2998	0	0	0	0	[27.0, 20.0]	R-MAT	50	10	10	gexf	27	1.35	0.5
142	cut	cap	first	R-MAT.50.10.10.gexf	50	328	3	2	[16, 16, 16, 16]	27	17	17.0	inf	3079	0	0	0	0	[27.0, 17.0]	R-MAT	50	10	10	gexf	27	1.58823529411765	0.5
143	cut	cap	first	R-MAT.50.10.10.gexf	50	328	5	3	[16, 16, 16, 16]	27	12	13.0	12.0	1943	1	0	0	0	[27.0, 13.0, 12.0]	R-MAT	50	10	10	gexf	27	2.25	0.5
144	cut	cap	first	R-MAT.50.10.10.gexf	50	328	10	4	[16, 16, 16, 16]	27	6	8.0	6.0	3308	1	0	0	0	[27.0, 8.0, 6.0]	R-MAT	50	10	10	gexf	22	3.66666666666667	0.5
146	cut	cap	first	R-MAT.50.25.10.gexf	50	570	2	1	[21, 21, 21, 21]	70	55	55.0	inf	517	0	0	0	0	[70.0, 55.0]	R-MAT	50	25	10	gexf	70	1.27272727272727	0.5
147	cut	cap	first	R-MAT.50.25.10.gexf	50	570	3	2	[21, 21, 21, 21]	70	49	49.0	inf	536	0	0	0	0	[70.0, 49.0]	R-MAT	50	25	10	gexf	70	1.42857142857143	0.5
148	cut	cap	first	R-MAT.50.25.10.gexf	50	570	5	3	[21, 21, 21, 21]	70	39	39.0	inf	748	0	0	0	0	[70.0, 39.0]	R-MAT	50	25	10	gexf	70	1.79487179487179	0.5
149	cut	cap	first	R-MAT.50.25.10.gexf	50	570	10	4	[21, 21, 21, 21]	70	20	20.0	inf	911	0	0	0	0	[70.0, 20.0]	R-MAT	50	25	10	gexf	67.2222222222222	3.36111111111111	0.5
151	cut	cap	first	R-MAT.50.5.11.gexf	50	192	2	1	[7, 7, 7, 7]	10	5	8.0	5.0	2942	2	0	0	0	[10.0, 8.0, 6.0, 5.0]	R-MAT	50	5	11	gexf	10	2	0.5
152	cut	cap	first	R-MAT.50.5.11.gexf	50	192	3	2	[7, 7, 7, 7]	10	5	7.0	5.0	4715	1	0	0	0	[10.0, 7.0, 5.0]	R-MAT	50	5	11	gexf	9.33333333333333	1.86666666666667	0
153	cut	cap	first	R-MAT.50.5.11.gexf	50	192	5	3	[7, 7, 7, 7]	10	5	5.0	inf	5112	0	0	0	0	[10.0, 5.0]	R-MAT	50	5	11	gexf	7.5	1.5	0
156	cut	cap	first	R-MAT.50.10.11.gexf	50	319	2	1	[16, 16, 16, 16]	24	17	17.0	inf	3176	0	0	0	0	[24.0, 17.0]	R-MAT	50	10	11	gexf	24	1.41176470588235	0.5
157	cut	cap	first	R-MAT.50.10.11.gexf	50	319	3	2	[16, 16, 16, 16]	24	15	15.0	inf	2562	0	0	0	0	[24.0, 15.0]	R-MAT	50	10	11	gexf	24	1.6	0.5
158	cut	cap	first	R-MAT.50.10.11.gexf	50	319	5	3	[16, 16, 16, 16]	24	11	11.0	inf	2588	0	0	0	0	[24.0, 11.0]	R-MAT	50	10	11	gexf	22.8	2.07272727272727	0.5
159	cut	cap	first	R-MAT.50.10.11.gexf	50	319	10	4	[16, 16, 16, 16]	24	6	6.0	inf	3488	0	0	0	0	[24.0, 6.0]	R-MAT	50	10	11	gexf	20.1666666666667	3.36111111111111	0.5
161	cut	cap	first	R-MAT.50.25.11.gexf	50	583	2	1	[23, 23, 23, 23]	58	44	44.0	inf	398	0	0	0	0	[58.0, 44.0]	R-MAT	50	25	11	gexf	58	1.31818181818182	0.5
162	cut	cap	first	R-MAT.50.25.11.gexf	50	583	3	2	[23, 23, 23, 23]	58	39	39.0	inf	656	0	0	0	0	[58.0, 39.0]	R-MAT	50	25	11	gexf	58	1.48717948717949	0.5
163	cut	cap	first	R-MAT.50.25.11.gexf	50	583	5	3	[23, 23, 23, 23]	58	30	30.0	inf	682	0	0	0	0	[58.0, 30.0]	R-MAT	50	25	11	gexf	58	1.93333333333333	0.5
164	cut	cap	first	R-MAT.50.25.11.gexf	50	583	10	4	[23, 23, 23, 23]	58	15	16.0	15.0	1223	1	0	0	0	[58.0, 16.0, 15.0]	R-MAT	50	25	11	gexf	53.4285714285714	3.56190476190476	0.5
166	cut	cap	first	R-MAT.50.5.12.gexf	50	173	2	1	[11, 11, 11, 11]	18	10	12.0	10.0	4376	1	0	0	0	[18.0, 12.0, 10.0]	R-MAT	50	5	12	gexf	18	1.8	0.5
167	cut	cap	first	R-MAT.50.5.12.gexf	50	173	3	2	[11, 11, 11, 11]	18	10	11.0	10.0	6408	1	0	0	0	[18.0, 11.0, 10.0]	R-MAT	50	5	12	gexf	18	1.8	0
168	cut	cap	first	R-MAT.50.5.12.gexf	50	173	5	3	[11, 11, 11, 11]	18	8	9.0	8.0	4717	1	0	0	0	[18.0, 9.0, 8.0]	R-MAT	50	5	12	gexf	15	1.875	0
